;;;;;;;;;;;;;x
KTI_communist;The Communist Faction;;;;;;;;;;;;x
KTI_fascist;The Fascist Faction;;;;;;;;;;;;x
KUK_democracy;Austria-Hungary;;;;;;;;;;;;x
KUK_democracy_ADJ;Austro-Hungarian;;;;;;;;;;;;x
KYR;Kyrgyzstan;;;;;;;;;;;;;x
KYR_ADJ;Kyrgyz;;;;;;;;;;;;;x
KYR_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;;;;;;;;;;;x;;;;;;;;;;
KYR_liberal;The Liberal Faction;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;;x;;;;;;;;;;
KYR_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;
KYR_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;;x;;;;;;;;;;
KYR_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;
KYR_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;
KYR_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;
LAN;Lanfang;;;;;;;;;;;;x
LAN_ADJ;Lanfang;;;;;;;;;;;;x
LAN_conservative;Conservative Kongsi;;;;;;;;;;;;x
LAN_liberal;Liberal Kongsi;;;;;;;;;;;;x
LAN_reactionary;Nationalist Kongsi;;;;;;;;;;;;x
LAN_anarcho_liberal;Radical Kongsi;;;;;;;;;;;;x
LAN_socialist;Socialist Kongsi;;;;;;;;;;;;x
LAN_communist;The Communist Kongsi;;;;;;;;;;;;x
LAN_fascist;Fascist Kongsi;;;;;;;;;;;;x
LBY;Libya;;;;;;;;;;;;x
LBY_ADJ;Libyan;;;;;;;;;;;;x
LBN;Lebanon;;;;;;;;;;;;;x
LBN_ADJ;Lebanese;;;;;;;;;;;;;x
LBN_liberal;Harakat al-Tajaddod al-Dimoqrati;;;;;;;;;;;;;x
LBN_conservative;At-Tayyar al-Watani al-Horr;;;;;;;;;;;;;x
LBN_socialist;Hizb al-Taqadummi al-Ishtiraki;;;;;;;;;;;;;x
LBN_reactionary;Harakat al-Qawmiyyin al-Arab;;;;;;;;;;;;;x
LBN_anarcho_liberal;Hizb al-Wataniyyin al-Ahrar;;;;;;;;;;;;;x
LBN_communist;Al-Hizb al-Shooyoo'i al-Lubnani;;;;;;;;;;;;;x
LBN_fascist;Phalanges Libanaises;;;;;;;;;;;;;x
LEO;Leon;;;;;;;;;;;;;x
LEO_ADJ;Leonese;;;;;;;;;;;;;x
LEO_conservative;Partido Moderado;;;;;;;;;;;;;x
LEO_liberal;Partido Progresista;;;;;;;;;;;;;x
LEO_reactionary;Comuni¢n Carlista;;;;;;;;;;;;;x
LEO_socialist;Partido Socialista;;;;;;;;;;;;;x
LEO_communist;Federaci¢n Regional;;;;;;;;;;;;;x
LEO_anarcho_liberal;Partido Radical;;;;;;;;;;;;;x
LEO_fascist;Falange;;;;;;;;;;;;;x
LNA;Lan Na;Lan Na;LanNa;Lan Na;Lanna;Lan Na;LanNa;Lan Na;;;;;;x;
LNA_ADJ;Lan Nan;lan nan;Lan Nan;Lan Nan;de Lanna;Lan Nan;Lan Nan;Lanansk˝;;;;;;x;
LNN_conservative;Royal Faction;;;;;;;;;;;;x
LNN_liberal;The Liberal Faction;;;;;;;;;;;;x
LNN_reactionary;The Nationalist Faction;;;;;;;;;;;;x
LNN_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x
LNN_socialist;The Socialist Faction;;;;;;;;;;;;x
LNN_communist;The Communist Faction;;;;;;;;;;;;x
LNN_fascist;The Fascist Faction;;;;;;;;;;;;x
LOM_reactionary;Monarchici;Monarchici;Monarchici;;Monarchici;;;;;;;;;x
LOM_liberal;Intransigenti;Intransigenti;Intransige nti;;Intransigenti;;;;;;;;;x
LOM_conservative;Transigenti;Transigenti;Transigen ti;;Transigenti;;;;;;;;;x
LOM_socialist;Socialisti;Socialisti;Socialisti;;So cialisti;;;;;;;;;x
LOM_communist;Rivoluzionari;Rivoluzionari;Rivoluzionari;;Rivoluzio nari;;;;;;;;;x
LOM_reactionary_2;Cattolici;Cattolici;Cattolici;;C attolici;;;;;;;;;x
LOM_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;;;x
LOM_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;;;x
LOR;Lorraine;;;;;;;;;;;;;x
LOR_ADJ;Lorrainian;;;;;;;;;;;;;;x
LOR_fascist_dictatorship;Lotharingia;;;;;;;;;;;;;x
LOR_fascist_dictatorship_ADJ;Lotharingian;;;;;;;;;;;;;x
LOS;Los Altos;;;;;;;;;;;;;x
LOS_ADJ;Losaltan;;;;;;;;;;;;;x
LOS_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;;x;;;;;;;;;;
LOS_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;;x;;;;;;;;;;
LOS_reactionary;Partido Nationalist;Partido nationaliste;Partido Nationalist;;;;;;;;;;;;x;;;;;;;;;;
LOS_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;;x;;;;;;;;;;
LOS_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;;x;;;;;;;;;;
LOS_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;;x;;;;;;;;;;
LOS_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;;x;;;;;;;;;;
LPL;La Plata;;;;;;;;;;;;x
LPL_ADJ;Platine;;;;;;;;;;;;x
LSK;Alaska;;;;;;;;;;;;;x
LSK_ADJ;Alaskan;;;;;;;;;;;;;x
LSK_reactionary;Nationalist Party;;;;;;;;;;;;;x
LSK_conservative;Democratic Party;;;;;;;;;;;;;x
LSK_liberal;Republican Party;;;;;;;;;;;;;x
LSK_anarcho_liberal;Liberal Economists;;;;;;;;;;;;;x
LSK_socialist;Socialist Party;;;;;;;;;;;;;x
LSK_communist;Bolsheviks;;;;;;;;;;;;;x
LSK_fascist;Northern Futurists;;;;;;;;;;;;;x
LUI;Saint Lucia;;;;;;;;;;;;x
LUI_ADJ;Lucian;;;;;;;;;;;;x
LUZ;Lusatia;;;;;;;;;;;;x
LUZ_ADJ;Lusatian;;;;;;;;;;;;x
LUZ_conservative;Conservative Party;;;;;;;;;;;;x
LUZ_liberal;Liberal Party;;;;;;;;;;;;x
LUZ_reactionary;Nationalist Party;;;;;;;;;;;;x
LUZ_anarcho_liberal;Radical Party;;;;;;;;;;;;x
LUZ_socialist;Socialist Party;;;;;;;;;;;;x
LUZ_communist;Communist Party;;;;;;;;;;;;x
LUZ_fascist;Fascist Party;;;;;;;;;;;;x
LXA_democracy;Laos;;;;;;;;;;;;;x;
LXA_democracy_ADJ;Lao;;;;;;;;;;;;;x;
LXA_proletarian_dictatorship;Lao People's Republic;;;;;;;;;;;;;x;
LXA_proletarian_dictatorship_ADJ;Lao;;;;;;;;;;;;;x;
LXA;Lan Xang;Lan Xang;LanXang;Lan Xang;Lane Xang;Lan Xang;LanXang;Lan Xang;;;;;;x;
LXA_ADJ;Lan Xangi;lan xang;Lan Xangi;Lan Xang;de Lane Xang;Lan Xang;Lan Xangi;Lanxangijsk˝;;;;;;x;
LXA_conservative;Royal Faction;;;;;;;;;;;;x
LXA_liberal;The Liberal Faction;;;;;;;;;;;;x
LXA_reactionary;The Nationalist Faction;;;;;;;;;;;;x
LXA_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x
LXA_socialist;The Socialist Faction;;;;;;;;;;;;x
LXA_communist;The Communist Faction;;;;;;;;;;;;x
LXA_fascist;The Fascist Faction;;;;;;;;;;;;x
MAH;Maharashtra;;;;;;;;;;;;x
MAH_ADJ;Maharashtran;;;;;;;;;;;;x
MAH_conservative;Royal Faction;;;;;;;;;;;;x
MAH_liberal;The Liberal Faction;;;;;;;;;;;;x
MAH_reactionary;The Nationalist Faction;;;;;;;;;;;;x
MAH_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x
MAH_socialist;The Socialist Faction;;;;;;;;;;;;x
MAH_communist;Communist Faction;;;;;;;;;;;;x
MAH_fascist;The Fascist Faction;;;;;;;;;;;;x
MAL;Maluku;;;;;;;;;;;;x
MAL_ADJ;Moluccan;;;;;;;;;;;;x
MAL_absolute_monarchy;Tidore Sultanate;;;;;;;;;;;;;x
MAL_prussian_constitutionalism;Tidore Sultanate;;;;;;;;;;;;;x
MAL_hms_government;Tidore Sultanate;;;;;;;;;;;;;x
MAR;Marianas;Marianas;Marianas;;;;;;;;;;;;x
MAR_ADJ;Marianan;Marianan;Marianan;;;;;;;;;;;;x
MCD;Macedonia;;;;;;;;;;;;x
MCD_ADJ;Macedonian;;;;;;;;;;;;x
MCK;Manchuria;;;;;;;;;;;;;x
MCK_absolute_monarchy;Empire of Manchuria;;;;;;;;;;;;;x
MCK_prussian_constitutionalism;Empire of Manchukuo;Manchukuo;Manchukuo;;;;;;;;;;;x
MCK_hms_government;Empire of Manchukuo;Manchukuo;Manchukuo;;;;;;;;;;;x
MCK_fascist_dictatorship;Great Manchuria;Manchukuo;Manchukuo;;;;;;;;;;;x
MCK_presidential_dictatorship;Fengtian Clique;;;;;;;;;;;;;x
MCK_ADJ;Manchurian;Mandchou;Manchurian;;;;;;;;;;;x
MCK_presidential_dictatorship_ADJ;Fengtian;;;;;;;;;;;;;x
MDR;Madeiras;;;;;;;;;;;;;x
MDR_ADJ;Madeiran;;;;;;;;;;;;;x
MDR_conservative;Partido Conservador;;;;;;;;;;;;;x
MDR_liberal;Partido Liberal;;;;;;;;;;;;;x
MDR_reactionary;Partido Real;;;;;;;;;;;;;x
MDR_socialist;Partido Socialist;;;;;;;;;;;;;x
MDR_communist;Partido Communist;;;;;;;;;;;;;x
MDR_anarcho_liberal;Partido Anarchist;;;;;;;;;;;;;x
MDR_fascist;Fascistos;;;;;;;;;;;;;x
MGH;Maghreb;;;;;;;;;;;;x
MGH_ADJ;Maghrebi;;;;;;;;;;;;x
MLI;Mali;;;;;;;;;;;;;x
MLI_ADJ;Malian;;;;;;;;;;;;;x
MLI_absolute_monarchy;Mali Empire;;;;;;;;;;;;;x
MLI_prussian_constitutionalism;Mali Empire;;;;;;;;;;;;;x
MLI_hms_government;Mali Empire;;;;;;;;;;;;;x
MLI_proletarian_dictatorship;Mali Republic;;;;;;;;;;;;;x
MLT;Malta;;;;;;;;;;;;x
MLT_ADJ;Maltese;;;;;;;;;;;;x
MLT_conservative;Partit Nazzjonalista;Partit Nazzjonalista;Partit Nazzjonalista;;;;;;;;;;;x
MLT_liberal;Constitutional Party;Constitutional Party;Constitutional Party;;;;;;;;;;;x
MLT_reactionary;Azzjoni Nazzjonali;Azzjoni Nazzjonali;Azzjoni Nazzjonali;;;;;;;;;;;x
MLT_socialist;Partit Laburista;Partit Laburista;Partit Laburista;;;;;;;;;;;x
MLT_communist;Communist Party;Communist Party;Communist Party;;;;;;;;;;;x
MLT_anarcho_liberal;Alpha Partit Liberali;Alpha Partit Liberali;Alpha Partit Liberali;;;;;;;;;;;x
MLT_fascist;Imperium Europa;Imperium Europa;Imperium Europa;;;;;;;;;;;x
MLW;Malawi;;;;;;;;;;;;x
MLW_ADJ;Malawian;;;;;;;;;;;;x
MLW_absolute_monarchy;Nyasaland;;;;;;;;;;;;x
MLW_prussian_constitutionalism;Nyasaland;;;;;;;;;;;;x
MLW_hms_government;Nyasaland;;;;;;;;;;;;x
MLW_absolute_monarchy_ADJ;Nyasa;;;;;;;;;;;;x
MLW_prussian_constitutionalism_ADJ;Nyasa;;;;;;;;;;;;x
MLW_hms_government_ADJ;Nyasa;;;;;;;;;;;;x
MLY;Malaysia;;;;;;;;;;;;x
MLY_ADJ;Malaysian;;;;;;;;;;;;x
MLY_absolute_monarchy;Malaya;;;;;;;;;;;;x
MLY_prussian_constitutionalism;Malaya;;;;;;;;;;;;x
MLY_hms_government;Malay Federation;;;;;;;;;;;;x
MLY_absolute_monarchy_ADJ;Malay;;;;;;;;;;;;x
MLY_prussian_constitutionalism_ADJ;Malay;;;;;;;;;;;;x
MLY_hms_government_ADJ;Malay;;;;;;;;;;;;x
MOD_reactionary;Restaurazionisti;Restaurazionisti;Restaurazionisti;;Restaurazionis ti;;;;;;;;;x
MOD_conservative;Moderati ;Moderati ;Moderati;;Moderati ;;;;;;;;;x
MOD_liberal;Riformisti ;Riformisti ;Riformisti;;Riformisti ;;;;;;;;;x
MOD_liberal_2;Liberali;Liberali;Liberali;;Liberali ;;;;;;;;;x
MOD_socialist;Socialisti;Socialisti;Socialisti;;Socialisti;;;;;;;;; x
MOD_conservative_2;Popolari;Popolari;Popolari;;Pop olari;;;;;;;;;x
MOD_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;;;x
MOD_communist;Comunisti;Comunisti;Comunisti;;Comunisti;;;;;;;;;x
MOD_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;;;x
MOZ;Mozambique;;;;;;;;;;;;x
MOZ_ADJ;Mozambican;;;;;;;;;;;;x
MRS;Marshall Islands;Marshall Islands;Marshall Islands;;;;;;;;;;;;x
MRS_ADJ;Marshallese;Marshallese;Marshallese;;;;;;;;;;;;x
MRT;Marathas;;;;;;;;;;;;x
MRT_ADJ;Marathi;;;;;;;;;;;;x
MRT_absolute_monarchy;Maratha Empire;;;;;;;;;;;;x
MRT_prussian_constitutionalism;Maratha Empire;;;;;;;;;;;;x
MRT_democracy;Maratha Confederacy;;;;;;;;;;;;x
MRT_proletarian_dictatorship;Maratha Republic;;;;;;;;;;;;x
MRU;Maritime Republic;;;;;;;;;;;;x
MRU_absolute_monarchy;Maritime Union;;;;;;;;;;;;x
MRU_prussian_constitutionalism;Maritime Union;;;;;;;;;;;;x
MRU_hms_government;Maritime Union;;;;;;;;;;;;x
MRU_ADJ;Maritime;;;;;;;;;;;;x
NEJ_absolute_monarchy_ADJ;Saudi;;;;;;;;;;;;x
NEJ_prussian_constitutionalism_ADJ;Saudi;;;;;;;;;;;;x
NEJ_hms_government_ADJ;Saudi;;;;;;;;;;;;x
NGR;Nigeria;;;;;;;;;;;;x
NGR_ADJ;Nigerian;;;;;;;;;;;;x
NIG;Niger;;;;;;;;;;;;x
NIG_ADJ;Nigerien;;;;;;;;;;;;x
NIG_liberal;UPDP;;;;;;;;;;;;x
NIG_conservative;Democratic and Social Convention;;;;;;;;;;;;x
NIG_socialist;Sawaba;;;;;;;;;;;;x
NIG_reactionary;MNSD;;;;;;;;;;;;x
NIG_anarcho_liberal;;;;;;;;;;;;;x
NIG_communist;Progressive Party;;;;;;;;;;;;x
NIG_fascist;Party for People's Dignity;;;;;;;;;;;;x
NOR_liberal;Liberals;;;;;;;;;;;;x
NOR_liberal_2;Venstre;;;;;;;;;;;;x
NOR_conservative;Conservatives;;;;;;;;;;;;x
NOR_conservative_2;H¯yre;;;;;;;;;;;;x
NOR_conservative_3;Moderate Venstre;;;;;;;;;;;;x
NOR_conservative_4;Samlingspartiet;;;;;;;;;;;;x
NOR_conservative_5;Frisinnede Venstre;;;;;;;;;;;;x
NOR_conservative_6;Kristelig Folkeparti;;;;;;;;;;;;x
NOR_anarcho_liberal_2;Arbeiderdemokratene;;;;;;;;;;;;x
NOR_socialist;Socialists;;;;;;;;;;;;x
NOR_socialist_2;Det Norske Arbeiderparti;;;;;;;;;;;;x
NOR_socialist_3;Norges Socialdemokratiske Arbeiderparti;;;;;;;;;;;;x
NOR_socialist_4;Bondepartiet;;;;;;;;;;;;x
NOR_communist_2;Det Norske Arbeiderparti;;;;;;;;;;;;x
NOR_communist_3;Norges Kommunistiske Parti;;;;;;;;;;;;x
NOR_fascist;Nationalists;;;;;;;;;;;;x
NOR_fascist_2;Nasjonal Samling;;;;;;;;;;;;x
NOV;Nova Scotia;Nouvelle-…cosse;Neuschottland;;;;;;;;;;;x
NOV_ADJ;Nova Scotian;Nouvelle-…cossais;Neuschottisch;;;;;;;;;;;x
NOV_liberal;Liberal Party;Parti libÈral;Liberale Partei;;;;;;;;;;;x
NOV_conservative;Conservative Party;Parti conservateur;Conservative Party;;;;;;;;;;;x
NOV_reactionary;Nationalist Party;Parti nationaliste;Nationalist Party;;;;;;;;;;;x
NOV_anarcho_liberal;Radical Party;Parti radical;Radical Party;;;;;;;;;;;x
NOV_socialist;Socialist Party;Parti socialiste;Socialist Party;;;;;;;;;;;x
NOV_communist;Communist Party;Parti communiste;Communist Party;;;;;;;;;;;x
NOV_fascist;Fascist Party;Parti fasciste;Fascist Party;;;;;;;;;;;x
NOV_fascist_dictatorship;Alba Nuadh;;;;;;;;;;;;;x
NOV_fascist_dictatorship_adj;Albannaich;;;;;;;;;;;;;x
NQL;North Queensland;North Queensland;North Queensland;;;;;;;;;;;x
NQL_ADJ;North Queenslander;North Queenslander;North Queenslander;;;;;;;;;;;x
NQL_fascist_dictatorship;Capricornia;Capricornia;Capricornia;;;;;;;;;;;x
NQL_fascist_dictatorship_ADJ;Capricornian;Capricornian;Capricornian;;;;;;;;;;;x
NQL_conservative;Conservative Faction;Conservative Faction;Conservative Faction;;;;;;;;;;;x
NQL_conservative_1;Nationalist Party;Nationalist Party;Nationalist Party;;;;;;;;;;;x
NQL_conservative_2;United Australia Party;United Australia Party;United Australia Party;;;;;;;;;;;x
NQL_liberal;Liberal Faction;Liberal Faction;Liberal Faction;;;;;;;;;;;x
NQL_liberal_1;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;x
NQL_socialist;Labour Faction;Labour Faction;Labour Faction;;;;;;;;;;;x
NQL_socialist_1;Labor Party;Labor Party;Labor Party;;;;;;;;;;;x
NQL_communist;Communist Party;Communist Party;Communist Party;;;;;;;;;;;x
NQL_reactionary;Radical Nationalists;Radical Nationalists;Radical Nationalists;;;;;;;;;;;x
NQL_reactionary_2;Country Party;Country Party;Country Party;;;;;;;;;;;x
NQL_anarcho_liberal;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
NQL_fascist;Fascist Party;Fascist Party;Fascist Party;;;;;;;;;;;x
NSW;New South Wales;New South Wales;New South Wales;;;;;;;;;;;x
NSW_ADJ;New South Welsh;New South Welsh;New South Welsh;;;;;;;;;;;x
NSW_conservative;Conservative Faction;Conservative Faction;Conservative Faction;;;;;;;;;;;x
NSW_conservative_1;Protectionist Party;Protectionist Party;Protectionist Party;;;;;;;;;;;x
NSW_conservative_2;Progressive Party;Progressive Party;Progressive Party;;;;;;;;;;;x
NSW_conservative_3;Nationalist Party;Nationalist Party;Nationalist Party;;;;;;;;;;;x
NSW_conservative_4;United Australia Party;United Australia Party;United Australia Party;;;;;;;;;;;x
NSW_liberal;Liberal Faction;Liberal Faction;Liberal Faction;;;;;;;;;;;x
NSW_liberal_1;Free Trade Party;Free Trade Party;Free Trade Party;;;;;;;;;;;x
NSW_liberal_2;Liberal Reform Party;Liberal Reform Party;Liberal Reform Party;;;;;;;;;;;x
NSW_liberal_3;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;x
NSW_socialist;Labour Faction;Labour Faction;Labour Faction;;;;;;;;;;;x
NSW_socialist_1;Labor Party;Labor Party;Labor Party;;;;;;;;;;;x
NSW_communist;Communist Party;Communist Party;Communist Party;;;;;;;;;;;x
NSW_reactionary;Radical Nationalists;Radical Nationalists;Radical Nationalists;;;;;;;;;;;x
NSW_reactionary_1;Farmers and Settlers Party;Farmers and Settlers Party;Farmers and Settlers Party;;;;;;;;;;;x
NSW_reactionary_2;Progressive Party;Progressive Party;Progressive Party;;;;;;;;;;;x
NSW_reactionary_3;Country Party;Country Party;Country Party;;;;;;;;;;;x
NSW_anarcho_liberal;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
NSW_fascist;New Guard;New Guard;New Guard;;;;;;;;;;;x
NTA;North Australia;North Australia;North Australia;;;;;;;;;;;x
NTA_ADJ;North Australian;North Australian;North Australian;;;;;;;;;;;x
NTA_conservative;Conservative Faction;Conservative Faction;Conservative Faction;;;;;;;;;;;x
NTA_conservative_1;Nationalist Party;Nationalist Party;Nationalist Party;;;;;;;;;;;x
NTA_conservative_2;United Australia Party;United Australia Party;United Australia Party;;;;;;;;;;;x
NTA_liberal;Liberal Faction;Liberal Faction;Liberal Faction;;;;;;;;;;;x
NTA_liberal_1;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;x
NTA_socialist;Labour Faction;Labour Faction;Labour Faction;;;;;;;;;;;x
NTA_socialist_1;Labor Party;Labor Party;Labor Party;;;;;;;;;;;x
NTA_communist;Communist Party;Communist Party;Communist Party;;;;;;;;;;;x
NTA_reactionary;Radical Nationalists;Radical Nationalists;Radical Nationalists;;;;;;;;;;;x
NTA_reactionary_2;Country Party;Country Party;Country Party;;;;;;;;;;;x
NTA_anarcho_liberal;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x
NTA_fascist;Fascist Party;Fascist Party;Fascist Party;;;;;;;;;;;x
NYE;North Yemen;;;;;;;;;;;x
NYE_ADJ;North Yemeni;;;;;;;;;;;x
NYE_absolute_monarchy;Sultanate of Zaydi;;;;;;;;;;;x
NYE_prussian_constitutionalism;Sultanate of Zaydi;;;;;;;;;;;x
NYE_hms_government;Sultanate of North Yemen;;;;;;;;;;;x
NYE_absolute_monarchy_ADJ;Zaidiyyah;;;;;;;;;;;x
NYE_prussian_constitutionalism_ADJ;Zaidiyyah;;;;;;;;;;;x
NYE_hms_government_ADJ;Zaidiyyah;;;;;;;;;;;x
LHJ;Lahej;;;;;;;;;;;;;x
LHJ_ADJ;Lahejite;;;;;;;;;;;;;x
FDL;Fadhli;;;;;;;;;;;;;x
FDL_ADJ;Fadhlian;;;;;;;;;;;;;x
KTH;Kathiri;;;;;;;;;;;;;x
KTH_ADJ;Kathirian;;;;;;;;;;;;;x
MHR;Mahra;;;;;;;;;;;;;x
MHR_ADJ;Mahran;;;;;;;;;;;;;x
OAX;Oaxaca;;;;;;;;;;;;x
OAX_ADJ;Oaxacan;;;;;;;;;;;;x
OAX_conservative;Conservative Party;;;;;;;;;;;;x
OAX_liberal;Liberal Party;;;;;;;;;;;;x
OAX_reactionary;Nationalist Party;;;;;;;;;;;;x
OAX_anarcho_liberal;Radical Party;;;;;;;;;;;;x
OAX_socialist;Socialist Party;;;;;;;;;;;;x
OAX_communist;Communist Party;;;;;;;;;;;;x
OAX_fascist;Fascist Party;;;;;;;;;;;;x
occitan;Occitan;Occitain;Occitanisch;;;;;;;;;;;x
OCC;Occitania;Occitanie;Occitania;;Occitania;;;;;;;;;x
OCC_ADJ;Occitan;Occitain;Occitanisch;;Occitano;;;;;;;;;x
OCC_reactionary;Partit Reiau-Alo;Partit Reiau-Alo;Partit Reiau-Alo;;Partit Reiau-Alo;;;;;;;;;;;x
OCC_liberal;Partit de lo Nacioun ”ucitano;Partit de lo Nacioun ”ucitano;Partit de lo Nacioun ”ucitano;;;;;;;;;;;x
OCC_conservative;Partit Counservadouro;Partit Counservadouro;Partit Counservadouro;;Partit Counservadouro;;;;;;;;;;;x
OCC_socialist;Partit Soucialisto;Partit Soucialisto;Partit Soucialisto;;Partit Soucialisto;;;;;;;;;;;x
OCC_anarcho_liberal;Partit Anarquisto;Partit Anarquisto;Partit Anarquisto;;Partit Anarquisto;;;;;;;;;;;x
OCC_communist;Partit Comunisto;Partit Comunisto;Partit Comunisto;;Partit Comunisto;;;;;;;;;;;x
OCC_fascist;Partit Faissisto;Partit Faissisto;Partit Faissisto;;Partit Faissisto;;;;;;;;;;;x
PAK;Pakistan;;;;;;;;;;;;x
PAK_ADJ;Pakistani;;;;;;;;;;;;x
PAK_conservative;Jamaat-e-Islami Pakistan;;;;;;;;;;;;;;;;;;x;;;;
PAK_liberal;Pakistan Tehreek-e-Insaf;;;;;;;;;;;;;;;;;;x;;;;
PAK_liberal_2;Muttahida Qaumi;;;;;;;;;;;;;;;;;;x;;;;
PAK_anarcho_liberal;Awami National;;;;;;;;;;;;;;;;;;x;;;;
PAK_socialist;Pakistan Awami Tehreek;;;;;;;;;;;;;;;;;;x;;;;
PAK_socialist_2;Kull Pakistan Kissan;;;;;;;;;;;;;;;;;;x;;;;
PAK_communist;Pakistan People's Party;;;;;;;;;;;;;;;;;;x;;;;
PAK_fascist;Jamaat Ahle Sunnat;;;;;;;;;;;;;;;;;;x;;;;
PAK_reactionary;Jamiat Ulema-e-Islam;;;;;;;;;;;;;;;;;;x;;;;
PAP;Papal States;;;;;;;;;;;;x
PAP_democracy;Roman Republic;;;;;;;;;;;;;x
PAP_presidential_dictatorship;Roman Republic;;;;;;;;;;;;;x
PAP_bourgeois_dictatorship;Roman Republic;;;;;;;;;;;;;x
PAP_proletarian_dictatorship;Roman People's Republic;;;;;;;;;;;;;x
PAP_fascist_dictatorship;Rome;;;;;;;;;;;;;x
PAP_democracy_ADJ;Roman;;;;;;;;;;;;;x
PAP_presidential_dictatorship_ADJ;Roman;;;;;;;;;;;;;x
PAP_bourgeois_dictatorship_ADJ;Roman;;;;;;;;;;;;;x
PAP_proletarian_dictatorship_ADJ;Roman;;;;;;;;;;;;;x
PAP_fascist_dictatorship_ADJ;Roman;;;;;;;;;;;;;x
PAR_reactionary;Restaurazionisti;Restaurazionisti;Restaurazionisti;;Restaurazionis ti;;;;;;;;;x
PAR_conservative;Moderati ;Moderati ;Moderati;;Moderati ;;;;;;;;;x
PAR_liberal;Riformisti ;Riformisti ;Riformisti;;Riformisti ;;;;;;;;;x
PAR_liberal_2;Liberali;Liberali;Liberali;;Liberali ;;;;;;;;;x
PAR_socialist;Socialisti;Socialisti;Socialisti;;Socialisti;;;;;;;;; x
PAR_conservative_2;Popolari;Popolari;Popolari;;Pop olari;;;;;;;;;x
PAR_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;;;x
PAR_communist;Comunisti;Comunisti;Comunisti;;Comunisti;;;;;;;;;x
PAR_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;;;x
PBC;Peru-Bolivia;;;;;;;;;;;;;x
PBC_ADJ;Peru-Bolivian;;;;;;;;;;;;;x
PBC_proletarian_dictatorship;Andes Commonwealth;;;;;;;;;;;;;x
PBC_proletarian_dictatorship_ADJ;Andine;;;;;;;;;;;;;
PBC_democracy;Andes Republic;;;;;;;;;;;;;
PBC_democracy_ADJ;Andine;;;;;;;;;;;;;
PHL;Philippines;Philippines;Philippinen;;;;;;;;;;;x
PHL_ADJ;Philippine;Philippine;Philippinisch;;;;;;;;;;;x
PHL_reactionary;Partido Tradicionalista;Partido Tradicionalista;Partido Tradicionalista;;;;;;;;;;;x
PHL_socialist;Partido Demokratiko;Partido Demokratiko;Partido Demokratiko;;;;;;;;;;;x
PHL_communist;Partido Komunista;Partido Komunista;Partido Komunista;;;;;;;;;;;x
PHL_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;x
PHL_anarcho_liberal;Partido Libertad;Partido Libertad;Partido Libertad;;;;;;;;;;;x
PHL_conservative;Partido Nacionalista;Partido Nacionalista;Partido Nacionalista;;;;;;;;;;;x
PHL_fascist;Partido Fascista;Partido Fascista;Partido Fascista;;;;;;;;;;;x
PLC;Polish-Lithuanian Commonwealth;;;;;;;;;;;;x
PLC_ADJ;Polish-Lithuanian;;;;;;;;;;;;x
PLC_proletarian_dictatorship;Polish-Lithuanian Republic;;;;;;;;;;;;x
PLC_fascist_dictatorship;Polish-Lithuanian Republic;;;;;;;;;;;;x
PLC_presidential_dictatorship;Polish-Lithuanian Republic;;;;;;;;;;;;x
PLC_democracy;Poland-Lithuania;;;;;;;;;;;;x
